MatvareID;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;Êg;alfa-TE;mg
09.107;SmÜgodt, salte;20;1218;0;0;62.9;0.5;8.5;0;0;0;0
09.108;Vaniljesukker;8;1549;0;0;91.1;0;0;0;0;0;0
09.109;Sjokoladepulver, Rett i koppen;4;1582;5.1;0;67.5;7.1;11.1;0;0;0;0
09.110;Sorbet;54;763;0;0;43.5;0.2;1.3;1;0;0.1;19
09.111;Kokosbolle;23;1576;14.8;3;55.2;1.7;4.5;6;0;0.2;0
09.113;Lakriskonfekt;8;1637;5.2;0;78.8;1.2;5.6;0;0;0;0
09.114;Saftis;81;313;0.1;0;18.1;0;0.1;0;0;0.1;1
09.116;Sjokolade, melkesjokolade, porõs;1;2177;30.3;18;51.8;2.6;9.1;19;0;0.5;0
09.117;Sjokolade, med gelÇ og marsipan, type Troika;11;1866;17.8;2;65.6;3.7;3.7;0;0;1.9;0
09.124;Pastiller, uten sukker;12;193;0.1;0;0;22;0.8;0;0;0;0
09.125;Karamell, med sjokoladetrekk;6;1796;21.7;23;53.4;0;5;35;0;2;0
09.127;Skumgodter, Marshmallows;17;1119;0;0;61.9;0;3.9;0;0;0;0
09.128;GelÇfrukter, type Seigmenn;19;1243;0;0;65.5;0;7.6;0;0;0;0
09.129;Tyggegummi, med sukker;3;1384;0;0;81;0;0.4;0;0;0;0
10.001;Fruktsaus, av pulver, tilberedt;85;221;0;0;13;0;0;0;0;0;0
10.002;Fromasj, av pulver, tilberedt;64;783;10;0;20;0;4.3;0;0;0;0
10.003;Fruktsuppe, av pulver, tilberedt;85;241;0;0;14;0;0.2;0;0;0;0
10.004;GelÇ, av pulver, tilberedt;80;330;0;0;18;0;1.4;0;0;0;0
10.005;Nypesuppe, av pulver, tilberedt;86;226;0.1;0;13;0;0.1;0;0;0;70
10.006;Sjokoladepudding, av pulver, tilberedt;75;349;1.4;0;14.3;0;3.2;39;0;0;0
10.007;Vaniljesaus, av pulver, tilberedt;82;324;1.4;0;12.9;0;3.1;84;0;0;0
10.008;Grytebasis, orientalsk, uten kjõtt;85;224;1;0;8.5;1;2;0;0;0;5
10.009;Grytebasis, med ris, meksikansk, uten kjõtt;79;351;1;0;16;1;2;0;0;0;5
10.010;Grytebasis, med pasta, italiensk, uten kjõtt;80;292;1;0;12;1;2.5;0;0;0;5
10.011;Ertesuppe, av pulver;85;248;1;0;8;1.9;3.5;0;0;0;0
10.012;BlomkÜlsuppe, av pulver;93;145;1;0;4.5;0.8;1.5;0;0;0;5
10.013;Tomatsuppe, av pulver;91;141;0.5;0;6;0.4;1;0;0;0;5
10.014;Tomatsuppe, med makaroni, av pulver;90;163;0.5;0;7;1;1;0;0;0;5
10.015;Bernaisesaus, av pulver;68;930;21;0;6.5;0;2.5;0;0;0;0
10.016;Brun saus, av blokk;89;240;3.5;0;5.5;0;1;0;0;0;0
10.017;Brun saus, kjõttkakesaus, av pulver;91;148;1;0;5.5;0;1;0;0;0;0
10.018;Hvit saus, av pulver;85;297;2.5;0;8;0;4;0;0;0;0
10.019;Sjysaus, av pulver;95;78;0.5;0;2.5;0;1;0;0;0;0
10.020;Ertestuing, av pulver;65;548;1.5;0;20;1;8.5;0;0;0;0
10.021;Sjokoladedrikk, Rett i koppen;83;302;1;0;13;1.2;2;0;0;0;0
10.023;Fiskesuppe, type Bergensk, av pulver;92;181;1;0;5.5;1;2.5;0;0;0;1
10.024;Betasuppe, av pulver, tilberedt;88;188;0.5;0;7.5;2;1.5;0;0;0;0
10.025;Brun saus, med lõk, av pulver;90;166;1.5;0;5.5;0;1;0;0;0;0
10.026;Viltsaus, av pulver;86;263;2.5;0;7;0;3;0;0;0;0
10.028;Grytebasis, Jegergryte, uten kjõtt;88;268;1.5;0;9;1;3;0;0;0;0
10.029;Grytebasis, Stroganoff, uten kjõtt;85;276;1.5;0;9.5;1;3;0;0;0;5
10.031;Tomatsuppe, krutonger, Rett i koppen;89;198;1;0;8;1;1;0;0;0;5
10.032;BlomkÜl/brokkolisuppe, Rett i koppen;90;174;1.5;0;5.5;1;1;0;0;0;0
10.033;Grytebasis, Pasta di Napoli, uten kjõtt;70;502;3;0;19;1;3.5;0;0;0;5
10.034;Pizzafyllbasis, uten kjõtt;82;275;1;0;12;1;1.5;0;0;0;5
10.100;Buljongpulver;5;609;4.5;0;9;0;17;0;0;0;0
10.109;Grytebasis, med ris, pulver;6;1566;4.5;0;71;4.9;9;0;0;0;0
